               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11994,             0.13317,                   0,            0.047922,             0.21238,            0.030521,           0.0066952,             0.10219,             0.11778,                   0,              0.0838,              0.0018,              0.0018
                   1,             0.10448,             0.14794,                   0,            0.074124,             0.24986,            0.061871,             0.01502,            0.093594,             0.13423,                   0,            0.066676,           0.0036756,           0.0036756
                   2,            0.093602,             0.13685,                   0,             0.24868,             0.35198,             0.20597,            0.055599,            0.088226,             0.16809,                   0,            0.049526,           0.0055261,           0.0055261
                   3,            0.089105,             0.12628,                   0,             0.17824,              0.2675,             0.13268,            0.032058,            0.090373,             0.11188,                   0,            0.032352,           0.0073515,           0.0073515
                   4,            0.087753,             0.12922,                   0,             0.19305,             0.46334,             0.17517,            0.056432,             0.08034,             0.10113,                   0,            0.015152,           0.0091518,           0.0091518
                   5,            0.083589,             0.12618,                   0,             0.30871,             0.31381,             0.27543,              0.0916,              0.0785,            0.095717,                   0,             0.00967,             0.00967,             0.00967
                   6,            0.077944,             0.12141,                   0,              0.3605,             0.54548,             0.39283,             0.12969,            0.068513,            0.093367,                   0,             0.00967,             0.00967,             0.00967
                   7,            0.073677,             0.12499,                   0,             0.30514,             0.52991,             0.36845,             0.11962,            0.071703,              0.1036,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.074163,             0.12801,                   0,             0.29489,             0.54245,             0.28927,             0.08706,            0.075913,             0.10324,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.070204,             0.12294,                   0,             0.39654,              0.6815,             0.47462,             0.14889,             0.06927,            0.097126,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.065812,             0.12236,                   0,             0.69152,             0.66014,             0.71175,              0.2218,            0.066277,            0.088786,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.064358,             0.12073,                   0,             0.56247,              0.7325,             0.65307,             0.24621,              0.0592,            0.082637,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.062076,             0.12154,                   0,             0.69383,             0.76891,             0.79032,             0.35142,            0.053934,            0.089017,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.058288,             0.11597,                   0,             0.77444,             0.69509,             0.79024,              0.3952,            0.052979,            0.088474,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.057518,             0.12304,                   0,             0.70104,             0.84026,             0.76804,             0.37872,            0.049267,            0.080364,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.059076,             0.11243,                   0,              0.8469,             0.82456,             0.88192,             0.36526,            0.049638,            0.081264,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.059455,             0.11942,                   0,             0.87555,             0.86949,             0.92915,             0.48627,            0.046015,            0.075564,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.055704,             0.11786,                   0,             0.91778,             0.88396,             0.95048,             0.53926,            0.042485,            0.075957,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.054766,              0.1216,                   0,             0.91292,             0.87845,             0.94167,             0.47515,            0.045096,            0.074327,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.055854,             0.11274,                   0,             0.72196,             0.84277,             0.84407,             0.41122,            0.046243,            0.075555,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.055017,             0.11272,                   0,             0.91035,             0.87224,             0.93855,             0.49109,            0.044629,            0.076325,                   0,            0.008746,            0.008746,            0.008746
                  21,            0.052757,             0.11744,                   0,             0.85814,             0.86053,             0.93329,             0.53175,            0.042983,            0.073827,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.054731,              0.1152,                   0,             0.94293,             0.89723,             0.95553,              0.4496,            0.044618,             0.07547,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.052987,             0.11027,                   0,             0.93678,             0.90601,             0.96509,             0.52173,            0.044015,            0.073563,                   0,            0.008548,            0.008548,            0.008548
                  24,            0.053472,             0.11147,                   0,              0.9469,             0.91083,             0.96782,             0.56028,            0.042516,            0.073507,                   0,            0.008482,            0.008482,            0.008482
                  25,            0.050282,              0.1127,                   0,             0.91405,             0.86474,             0.94379,             0.53382,            0.043343,            0.079274,                   0,            0.008416,            0.008416,            0.008416
                  26,            0.049969,             0.10993,                   0,             0.94631,             0.91152,             0.96425,             0.56722,            0.040671,            0.072065,                   0,             0.00835,             0.00835,             0.00835
                  27,            0.051608,             0.11096,                   0,             0.95133,             0.91866,              0.9725,             0.56224,            0.042222,            0.072857,                   0,            0.008284,            0.008284,            0.008284
                  28,            0.049327,             0.11118,                   0,             0.95615,             0.91047,             0.97067,              0.5653,            0.040621,            0.072713,                   0,            0.008218,            0.008218,            0.008218
                  29,            0.049771,             0.10868,                   0,             0.95431,             0.90904,             0.96645,             0.57066,            0.040014,             0.07082,                   0,            0.008152,            0.008152,            0.008152
                  30,            0.049375,             0.11017,                   0,             0.95237,              0.9151,             0.97184,              0.5588,            0.041218,            0.072207,                   0,            0.008086,            0.008086,            0.008086
                  31,            0.049029,             0.10485,                   0,             0.95403,             0.89526,             0.95952,             0.53545,            0.042525,            0.071769,                   0,             0.00802,             0.00802,             0.00802
                  32,            0.048924,             0.10742,                   0,             0.96288,             0.92131,             0.97202,             0.53251,            0.040777,            0.070421,                   0,            0.007954,            0.007954,            0.007954
                  33,            0.050296,             0.10776,                   0,             0.95537,             0.91747,             0.97051,              0.5862,            0.039085,            0.070063,                   0,            0.007888,            0.007888,            0.007888
                  34,            0.048178,             0.10548,                   0,             0.95708,             0.91896,             0.97064,              0.5349,            0.041996,            0.071143,                   0,            0.007822,            0.007822,            0.007822
