               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12012,             0.13308,                   0,             0.05235,             0.17282,             0.03451,           0.0079404,             0.10202,             0.11824,                   0,              0.0838,              0.0018,              0.0018
                   1,             0.10491,               0.147,                   0,            0.080385,             0.18881,            0.051164,            0.011636,            0.097828,             0.14427,                   0,            0.066676,           0.0036756,           0.0036756
                   2,             0.09339,             0.13767,                   0,             0.23191,             0.34192,             0.18329,            0.048064,            0.088831,             0.16492,                   0,            0.049526,           0.0055261,           0.0055261
                   3,            0.089444,              0.1267,                   0,             0.20779,             0.31808,             0.16261,            0.049631,            0.091132,             0.10272,                   0,            0.032352,           0.0073515,           0.0073515
                   4,            0.086831,              0.1334,                   0,             0.22744,             0.44487,             0.21831,            0.054127,            0.080855,             0.11469,                   0,            0.015152,           0.0091518,           0.0091518
                   5,            0.083154,             0.13031,                   0,             0.20988,             0.45645,              0.1896,            0.058492,             0.07961,             0.10421,                   0,             0.00967,             0.00967,             0.00967
                   6,            0.079159,             0.12352,                   0,             0.27586,              0.4858,             0.27394,            0.077706,            0.074922,            0.099739,                   0,             0.00967,             0.00967,             0.00967
                   7,             0.07447,             0.12341,                   0,             0.23758,              0.6804,             0.30609,              0.1049,            0.067684,             0.10219,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.073044,             0.13014,                   0,             0.31686,             0.71872,             0.35893,             0.12635,            0.067293,             0.10229,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.069087,             0.12509,                   0,             0.50963,             0.74669,             0.56458,             0.20647,            0.059956,            0.094523,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.064357,             0.12523,                   0,             0.50621,             0.73722,              0.6071,             0.23908,            0.055186,            0.085308,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.062799,             0.12145,                   0,             0.73766,             0.78587,             0.79608,             0.34722,            0.051391,            0.083397,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.061205,             0.12271,                   0,             0.80832,             0.80182,             0.86525,                0.39,             0.05126,            0.079591,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.061755,             0.11511,                   0,             0.72433,             0.78108,             0.83529,             0.39358,            0.051459,            0.081245,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.059428,             0.12487,                   0,             0.84314,             0.84007,             0.88978,             0.39076,            0.051215,            0.081808,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.060885,              0.1127,                   0,             0.90776,              0.8612,             0.93039,             0.45069,            0.045719,            0.078445,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.058428,             0.12174,                   0,             0.89264,             0.84226,               0.906,             0.34028,            0.052136,            0.079972,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.056752,             0.11966,                   0,             0.92142,             0.87104,             0.94707,             0.50437,            0.045248,              0.0768,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.055712,             0.12199,                   0,             0.92859,             0.88354,             0.94449,             0.46376,            0.045483,            0.075062,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.056078,             0.11311,                   0,              0.9253,             0.87169,             0.95149,             0.52653,            0.044158,            0.075598,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.055225,             0.11354,                   0,             0.92085,             0.88346,             0.95076,             0.51792,            0.043797,            0.076001,                   0,            0.008746,            0.008746,            0.008746
                  21,            0.052588,             0.11813,                   0,             0.91742,             0.88347,             0.95433,             0.54472,            0.041393,            0.073839,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.054899,             0.11694,                   0,             0.95013,             0.90321,              0.9627,             0.56932,             0.04102,            0.073515,                   0,            0.008614,            0.008614,            0.008614
                  23,             0.05199,             0.11127,                   0,             0.94061,             0.90148,             0.96451,             0.52286,            0.043177,            0.073482,                   0,            0.008548,            0.008548,            0.008548
                  24,            0.053299,             0.11219,                   0,             0.94267,             0.90739,             0.96371,             0.53487,            0.043384,            0.074426,                   0,            0.008482,            0.008482,            0.008482
                  25,            0.051502,             0.11282,                   0,              0.9473,             0.91407,             0.96879,             0.57405,            0.040121,            0.074067,                   0,            0.008416,            0.008416,            0.008416
                  26,            0.049012,             0.11099,                   0,              0.9348,             0.91014,             0.96312,             0.52347,            0.043395,            0.075274,                   0,             0.00835,             0.00835,             0.00835
                  27,            0.050616,             0.11204,                   0,             0.94423,              0.9016,             0.96028,             0.53504,            0.043716,            0.075146,                   0,            0.008284,            0.008284,            0.008284
                  28,            0.050679,              0.1109,                   0,             0.94677,             0.91186,             0.96718,             0.53461,            0.041388,            0.072811,                   0,            0.008218,            0.008218,            0.008218
                  29,            0.050873,             0.10921,                   0,             0.95364,             0.91011,             0.96876,             0.55816,            0.040387,            0.071885,                   0,            0.008152,            0.008152,            0.008152
                  30,             0.04872,             0.11135,                   0,             0.95739,             0.91965,             0.97287,             0.57374,            0.040373,            0.072112,                   0,            0.008086,            0.008086,            0.008086
                  31,            0.049033,             0.10598,                   0,              0.9508,             0.91373,             0.97286,             0.56298,            0.040581,            0.071045,                   0,             0.00802,             0.00802,             0.00802
                  32,             0.04873,             0.10907,                   0,             0.95747,             0.92142,             0.97499,             0.58127,            0.039872,            0.070641,                   0,            0.007954,            0.007954,            0.007954
                  33,            0.048894,             0.10872,                   0,             0.95936,             0.92712,              0.9767,             0.61789,            0.037476,            0.069991,                   0,            0.007888,            0.007888,            0.007888
                  34,            0.047217,             0.10675,                   0,             0.95858,             0.92296,             0.97443,             0.57873,            0.039767,            0.071415,                   0,            0.007822,            0.007822,            0.007822
                  35,            0.047723,             0.10596,                   0,             0.95394,             0.91731,             0.97164,             0.57063,            0.039598,            0.069881,                   0,            0.007756,            0.007756,            0.007756
                  36,             0.04932,              0.1095,                   0,             0.95746,             0.92428,             0.97269,             0.56781,            0.039588,             0.07053,                   0,             0.00769,             0.00769,             0.00769
                  37,            0.047927,             0.10961,                   0,             0.96347,             0.92958,             0.97562,             0.58924,            0.038026,            0.069753,                   0,            0.007624,            0.007624,            0.007624
                  38,            0.046485,             0.10489,                   0,             0.96302,              0.9224,             0.97524,             0.61784,            0.038029,            0.069073,                   0,            0.007558,            0.007558,            0.007558
                  39,            0.046779,             0.10391,                   0,             0.96382,             0.92886,             0.97673,             0.60636,            0.038427,            0.068906,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.046426,             0.11009,                   0,             0.95857,             0.92464,              0.9756,             0.59325,             0.03939,            0.070399,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.045715,             0.10576,                   0,             0.96473,             0.92357,              0.9736,             0.56609,             0.03906,            0.069753,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.046412,             0.10994,                   0,              0.9635,             0.93385,             0.97974,             0.63549,             0.03628,            0.067638,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.047252,             0.10474,                   0,             0.96534,             0.93265,             0.98058,             0.60222,            0.038998,            0.069522,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.047673,             0.11094,                   0,             0.96498,             0.92944,             0.98016,             0.58475,            0.038305,            0.068364,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.046292,             0.10641,                   0,             0.96541,              0.9355,             0.98063,              0.6113,            0.036877,            0.067382,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.046843,             0.10377,                   0,             0.96394,             0.93208,             0.98034,             0.61089,            0.037544,            0.067715,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.044727,             0.10524,                   0,              0.9659,             0.93288,             0.98014,             0.61435,            0.037679,            0.068255,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.046191,             0.11104,                   0,             0.96445,             0.93468,             0.97896,             0.60771,            0.037785,            0.067387,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.045098,             0.10325,                   0,             0.97118,             0.94271,              0.9818,             0.57704,            0.038806,            0.068787,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.045145,             0.10489,                   0,             0.96941,             0.93911,             0.98276,             0.64049,            0.036286,             0.06761,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.043477,             0.10185,                   0,             0.96956,             0.93927,             0.98194,             0.62575,            0.036766,            0.068196,                   0,              0.0067,              0.0067,              0.0067
